Open,High,Low,Close,Adj Close,Volume
1215.0,1215.0,1194.4000244140625,1203.0999755859375,1203.0999755859375,351
1196.4000244140625,1212.4000244140625,1182.0,1201.9000244140625,1201.9000244140625,124
1204.300048828125,1227.300048828125,1204.300048828125,1225.0,1225.0,209
1221.699951171875,1239.0,1221.699951171875,1238.4000244140625,1238.4000244140625,142
1232.800048828125,1247.0,1221.9000244140625,1237.800048828125,1237.800048828125,127
1239.300048828125,1242.4000244140625,1226.300048828125,1229.4000244140625,1229.4000244140625,73
1227.5,1227.5,1218.5999755859375,1225.300048828125,1225.300048828125,189
1225.800048828125,1229.300048828125,1225.800048828125,1229.300048828125,1229.300048828125,7
1235.0,1246.800048828125,1234.0,1246.699951171875,1246.699951171875,58
1250.5999755859375,1252.699951171875,1245.5,1250.9000244140625,1250.9000244140625,46
1251.0,1251.300048828125,1242.0,1245.199951171875,1245.199951171875,37
1243.0999755859375,1243.199951171875,1238.0999755859375,1238.0999755859375,1238.0999755859375,68
1239.300048828125,1242.800048828125,1239.0,1240.0,1240.0,48
1239.699951171875,1254.300048828125,1239.699951171875,1251.699951171875,1251.699951171875,101
1256.4000244140625,1257.5,1240.0,1242.300048828125,1242.300048828125,224
1241.699951171875,1242.0,1239.0,1239.0,1239.0,58
1235.199951171875,1264.199951171875,1235.199951171875,1262.5999755859375,1262.5999755859375,40
1258.300048828125,1269.4000244140625,1258.300048828125,1264.5,1264.5,38
1259.800048828125,1264.4000244140625,1254.4000244140625,1263.5999755859375,1263.5999755859375,92
1257.9000244140625,1258.4000244140625,1251.0,1251.0,1251.0,20
1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,1262.199951171875,137028
1267.0,1267.699951171875,1237.5,1242.199951171875,1242.199951171875,45276
1243.5999755859375,1254.5,1238.4000244140625,1240.0999755859375,1240.0999755859375,5820
1242.4000244140625,1266.300048828125,1241.199951171875,1260.4000244140625,1260.4000244140625,2914
1258.4000244140625,1260.699951171875,1247.800048828125,1251.699951171875,1251.699951171875,1745
1254.0,1273.699951171875,1253.0999755859375,1257.300048828125,1257.300048828125,1616
1258.0,1267.0,1253.5,1257.5999755859375,1257.5999755859375,274
1258.300048828125,1271.4000244140625,1257.9000244140625,1263.300048828125,1263.300048828125,436
1269.5999755859375,1277.300048828125,1265.699951171875,1274.800048828125,1274.800048828125,742
1274.0,1292.0,1273.800048828125,1290.0999755859375,1290.0999755859375,562
1290.5,1296.199951171875,1285.5,1295.300048828125,1295.300048828125,140
1293.300048828125,1303.5,1287.5,1300.4000244140625,1300.4000244140625,877
1301.699951171875,1320.699951171875,1301.699951171875,1319.0,1319.0,308
1322.9000244140625,1330.5999755859375,1313.9000244140625,1324.699951171875,1324.699951171875,373
1318.300048828125,1321.5999755859375,1309.0999755859375,1320.5999755859375,1320.5999755859375,193
1310.699951171875,1323.5,1309.5999755859375,1317.0999755859375,1317.0999755859375,116
1320.0,1328.300048828125,1317.4000244140625,1323.9000244140625,1323.9000244140625,171
1324.300048828125,1339.0,1321.4000244140625,1338.300048828125,1338.300048828125,93
1336.4000244140625,1343.9000244140625,1333.0999755859375,1343.0,1343.0,290
1341.199951171875,1342.0,1325.5999755859375,1328.199951171875,1328.199951171875,485
1329.300048828125,1335.0,1324.5999755859375,1331.5999755859375,1331.5999755859375,369
1329.800048828125,1332.5999755859375,1321.0999755859375,1321.4000244140625,1321.4000244140625,239
1335.9000244140625,1354.0999755859375,1332.9000244140625,1350.0999755859375,1350.0999755859375,232
1350.4000244140625,1350.4000244140625,1332.199951171875,1337.800048828125,1337.800048828125,80
1334.800048828125,1341.0,1334.800048828125,1340.199951171875,1340.199951171875,32
1338.0,1351.699951171875,1333.300048828125,1351.699951171875,1351.699951171875,59
1349.5,1352.699951171875,1329.199951171875,1338.0999755859375,1338.0999755859375,97
1336.0,1344.699951171875,1330.5,1341.4000244140625,1341.4000244140625,97
1340.0,1352.4000244140625,1338.0999755859375,1346.5,1346.5,53
1349.0999755859375,1370.5,1348.699951171875,1370.300048828125,1370.300048828125,58
1366.800048828125,1374.5,1366.5,1372.199951171875,1372.199951171875,23
1376.0999755859375,1386.5999755859375,1371.0999755859375,1379.0,1379.0,91
1386.0999755859375,1391.4000244140625,1372.199951171875,1372.9000244140625,1372.9000244140625,29
1359.300048828125,1361.800048828125,1353.4000244140625,1359.0,1359.0,35
1357.0999755859375,1358.0,1332.699951171875,1341.4000244140625,1341.4000244140625,57
1333.699951171875,1333.699951171875,1325.800048828125,1330.5,1330.5,72
1339.0999755859375,1339.0999755859375,1335.800048828125,1336.0,1336.0,3
1333.0,1333.0,1310.5,1311.199951171875,1311.199951171875,103
1315.5,1315.5,1307.5,1311.4000244140625,1311.4000244140625,46
1315.199951171875,1315.199951171875,1303.4000244140625,1303.4000244140625,1303.4000244140625,4
1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,185016
1292.199951171875,1299.4000244140625,1285.9000244140625,1293.800048828125,1293.800048828125,65486
1294.300048828125,1298.800048828125,1282.4000244140625,1283.4000244140625,1283.4000244140625,4121
1285.0999755859375,1287.9000244140625,1277.300048828125,1279.5999755859375,1279.5999755859375,884
1280.199951171875,1294.0999755859375,1280.199951171875,1290.5,1290.5,1099
1290.800048828125,1293.5,1282.699951171875,1284.4000244140625,1284.4000244140625,775
1285.5,1306.0999755859375,1284.4000244140625,1303.199951171875,1303.199951171875,976
1301.4000244140625,1304.0,1296.300048828125,1298.0,1298.0,361
